Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual
19827,Stony Point,-38.37423454,145.2218375,3600
19828,Crib Point,-38.36612338,145.2040433,6700
19829,Morradoo,-38.35403334,145.1896025,2300
19830,Bittern,-38.33739032,145.1780265,4600
19831,Hastings,-38.30565853,145.1859799,8300
19832,Tyabb,-38.259815,145.1864007,2350
19833,Somerville,-38.22534196,145.1762449,4500
19834,Baxter,-38.19404306,145.1605261,1500
19835,Glen Iris,-37.85930842,145.0582249,148050
19836,Leawarra,-38.152034,145.139534,4150
19837,Darling,-37.86895684,145.0629508,135200
19838,East Malvern,-37.87693002,145.069393,176600
19839,Holmesglen,-37.87440222,145.090662,216150
19840,Jordanville,-37.87360339,145.1120902,191000
19844,Belgrave,-37.9091021,145.3552913,152800
19845,Tecoma,-37.90811849,145.3429946,32600
19846,Upwey,-37.90369097,145.3313334,69600
19847,Alamein,-37.86832039,145.0796557,54200
19848,Ashburton,-37.86196753,145.0813438,109450
19849,Burwood,-37.85156328,145.0805111,116850
19850,Hartwell,-37.84398457,145.0755596,75500
19851,Willison,-37.83571565,145.0702976,35750
19852,Riversdale,-37.83150543,145.069646,85550
19853,Camberwell,-37.82656714,145.0586972,789300
19855,Frankston,-38.14299007,145.1261623,692750
19856,Kananook,-38.12174203,145.1352953,93400
19857,Seaford,-38.10402104,145.1282304,162550
19858,Carrum,-38.07489292,145.1224183,182150
19859,Bonbeach,-38.06294478,145.1196804,67050
19860,Chelsea,-38.05195538,145.1160413,161650
19861,Edithvale,-38.03805602,145.1085355,101050
19862,Aspendale,-38.02722019,145.1021496,88300
19863,Mordialloc,-38.00658295,145.0876594,284900
19864,Parkdale,-37.99307882,145.0763268,179650
19865,Mentone,-37.9818654,145.0651659,424350
19866,Cheltenham,-37.96664989,145.0545579,319800
19867,Upper Ferntree Gully,-37.8926717,145.3075302,103250
19868,Ferntree Gully,-37.88169799,145.2952513,188800
19869,Boronia,-37.8604518,145.2843851,269450
19870,Bayswater,-37.84173004,145.2681364,263750
19871,Heathmont,-37.82832227,145.2445554,105300
19872,Highett,-37.948425,145.0418718,212700
19873,Glen Waverley,-37.87950407,145.1620575,705400
19874,Syndal,-37.87622963,145.1497805,333650
19875,Mount Waverley,-37.87525526,145.1280557,338200
19876,Lilydale,-37.75551777,145.3477102,236150
19877,Mooroolbark,-37.78474883,145.3124024,213050
19878,Croydon,-37.79543697,145.2805978,327150
19879,Ringwood East,-37.81196804,145.2501909,133050
19880,Pakenham,-38.08061397,145.4863791,270350
19881,Officer,-38.06614572,145.4109872,64850
19882,Beaconsfield,-38.05083135,145.3660737,119350
19883,Berwick,-38.04040829,145.3457261,325600
19884,Narre Warren,-38.02780932,145.3039694,318150
19885,Hallam,-38.01774038,145.2697768,118900
19886,Cranbourne,-38.09953731,145.280599,462300
19887,Merinda Park,-38.07900048,145.2635114,183900
19888,Dandenong,-37.98996792,145.2097254,1234650
19889,Yarraman,-37.97825454,145.1916003,140000
19890,Noble Park,-37.96723193,145.1769357,556700
19891,Sandown Park,-37.95650457,145.1628259,189600
19892,East Camberwell,-37.82589419,145.0681902,104900
19893,Canterbury,-37.82448518,145.0812242,145650
19894,Chatham,-37.82429952,145.0886479,95650
19895,Surrey Hills,-37.82414805,145.0987747,241750
19896,Mont Albert,-37.81942655,145.1055304,98450
19897,Laburnum,-37.82078023,145.1407027,167650
19898,Blackburn,-37.82007075,145.1500135,607450
19899,Nunawading,-37.82060317,145.1748917,421250
19900,Mitcham,-37.81800987,145.1919735,511650
19901,Heatherdale,-37.81889537,145.2127872,224400
19902,Ringwood,-37.81588648,145.2289685,1080200
19903,Auburn,-37.82239831,145.0458437,331450
19904,Glenferrie,-37.82146682,145.0364388,1068450
19905,Hawthorn,-37.82182601,145.0228987,285900
19906,Burnley,-37.82756022,145.0075551,455750
19907,East Richmond,-37.82639995,144.9970657,251800
19909,Heyington,-37.83467244,145.0226353,120750
19910,Kooyong,-37.83992894,145.0335516,132800
19911,Tooronga,-37.84936553,145.0417337,228050
19912,Gardiner,-37.85327908,145.0516547,198550
19913,Springvale,-37.94950878,145.1534518,750700
19914,Westall,-37.93849121,145.1388326,474400
19915,Clayton,-37.92468255,145.1205344,853500
19916,Huntingdale,-37.91101734,145.1023643,666850
19917,Oakleigh,-37.90037214,145.0883079,836350
19918,Hughesdale,-37.89488129,145.0776351,276350
19919,Murrumbeena,-37.89019832,145.0673749,351600
19920,Carnegie,-37.88624148,145.0585751,510850
19921,Werribee,-37.89937805,144.661118,532750
19922,Hoppers Crossing,-37.88327618,144.7009549,436400
19923,Laverton,-37.86369404,144.7726167,552750
19924,Aircraft,-37.86660595,144.7608094,73150
19925,Westona,-37.86516348,144.8134936,137950
19926,Altona,-37.8671476,144.8296447,144800
19927,Seaholme,-37.86784231,144.8409577,49550
19928,Westgarth,-37.7806207,144.9992332,124700
19929,Dennis,-37.77918729,145.0082416,140800
19930,Fairfield,-37.77917126,145.0169053,262300
19931,Alphington,-37.77839363,145.0312549,129950
19932,Darebin,-37.77496341,145.038476,60500
19933,Ivanhoe,-37.76889674,145.0454252,319750
19934,Eaglemont,-37.76358553,145.0539427,58550
19935,Heidelberg,-37.75707293,145.0606855,384400
19936,Rosanna,-37.7428786,145.0661403,293550
19937,Moorabbin,-37.93435329,145.0367383,322300
19938,Patterson,-37.92514919,145.03547,144800
19939,Bentleigh,-37.91742457,145.0369951,344350
19940,Mckinnon,-37.91030903,145.038299,196050
19941,Ormond,-37.90321167,145.0396134,288800
19942,Glenhuntly,-37.88971946,145.0422229,342700
19943,Caulfield,-37.87745946,145.0425248,1874050
19944,Malvern,-37.8662533,145.0292939,371100
19945,Armadale,-37.85645238,145.0193255,244650
19946,Toorak,-37.85077381,145.0139086,224850
19947,Hawksburn,-37.84459087,145.0021421,231600
19948,Sandringham,-37.95033018,145.0045614,423250
19949,Hampton,-37.93797681,145.0014706,269050
19950,Brighton Beach,-37.92648432,144.9891536,186400
19951,Middle Brighton,-37.91513441,144.9962991,292700
19952,North Brighton,-37.90488721,145.002605,291000
19953,Gardenvale,-37.89669508,145.0041684,217150
19954,Elsternwick,-37.88475311,145.0008979,438400
19955,Ripponlea,-37.87590643,144.9952366,276600
19956,Balaclava,-37.86948773,144.9935121,468900
19957,Windsor,-37.85605308,144.9920352,375950
19958,Prahran,-37.84951848,144.9898599,571600
19959,South Yarra,-37.83844935,144.9923422,1997050
19960,Upfield,-37.66607779,144.9467399,185850
19961,Gowrie,-37.700678,144.9588743,153350
19962,Fawkner,-37.71462129,144.960545,86400
19963,Merlynston,-37.72093389,144.9613135,154400
19964,Batman,-37.73352285,144.9628406,142200
19965,Coburg,-37.74234502,144.9633363,272750
19966,Moreland,-37.75448484,144.961823,266400
19967,Anstey,-37.76124203,144.960684,187400
19968,Brunswick,-37.76772055,144.9595865,167400
19969,Jewell,-37.77498702,144.9587169,178100
19970,Royal Park,-37.78119293,144.9523013,156050
19971,Flemington Bridge,-37.78813995,144.9393233,123200
19972,Macaulay,-37.79426673,144.9361663,126350
19974,Clifton Hill,-37.78865745,144.9954167,454200
19975,Victoria Park,-37.79915782,144.9944514,317800
19976,Collingwood,-37.80452593,144.9937497,248400
19977,North Richmond,-37.81039836,144.9925003,351250
19978,West Richmond,-37.81494896,144.9914228,271450
19983,Macleod,-37.7260123,145.0691433,239150
19984,Watsonia,-37.71095798,145.0837934,303800
19985,Greensborough,-37.70395408,145.1082474,266050
19986,Montmorency,-37.71529624,145.1215157,117950
19987,Eltham,-37.71354967,145.147822,250100
19988,Diamond Creek,-37.67329744,145.1585062,83600
19989,Wattle Glen,-37.66396792,145.1816145,17550
19990,Hurstbridge,-37.63939817,145.1920169,57050
19991,Williamstown,-37.86775292,144.9053233,60150
19992,Williamstown Beach,-37.86398189,144.8944837,69250
19993,North Williamstown,-37.85733348,144.8890695,98800
