OBJECTID_1,GROWTH_RATE
1,0.013
2,0.019
3,0.015
4,0.02
5,0.003
6,0.025
7,0.013
8,-0.003
9,0
10,0.029
11,0.073
12,0.021
13,0.015
14,0
15,0.03
16,-0.003
17,0.004
18,0.014
19,0.014
20,-0.006
21,-0.005
22,0.016
23,0.042
24,0.011
25,0
26,-0.003
27,0.034
28,0.011
29,0.03
30,0.019
31,0.512
32,-0.012
33,0.016
34,0.024
35,-0.003
36,0.003
37,0.015
38,-0.001
39,0.008
40,0.048
41,0.025
42,0.008
43,0.027
44,0.003
45,0.021
46,0.015
47,0.035
48,0.026
49,-0.005
50,0.005
51,0.03
52,0.011
53,0.023
54,0.015
55,-0.012
56,0.023
57,0.029
58,0.027
59,0.017
60,0.02
61,-0.001
62,0.014
63,0.023
64,0.038
65,0.034
66,0.017
67,0.062
68,0.015
69,0.02
70,0
71,0.027
72,0.013
73,0.017
74,0.03
75,0.007
76,0.018
77,0.02
78,0.031
79,0.022
80,0.02
81,0.029
82,0.024
83,0.065
84,0.015
85,0.013
86,0.017
87,-0.003
88,0.059
89,0.024
90,0.022
91,0.006
92,0.001
93,0.007
94,-0.002
95,-0.006
96,-0.001
97,0.004
98,0.009
99,0.032
100,0.011
101,0.023
102,0.012
103,0.038
104,-0.016
105,0.002
106,0.035
107,-0.007
108,-0.013
109,-0.009
110,0.008
111,0.013
112,0.017
113,0.014
114,0.027
115,0.015
116,0.028
117,0.019
118,0.014
119,-0.001
120,0.025
121,-0.037
122,0
123,0.014
124,0.02
125,0.04
126,0.041
127,0.02
128,0.02
129,0.01
130,0.033
131,0.019
132,0.02
133,0.019
134,0.02
135,0.026
136,-0.058
137,0.041
138,0.048
139,0.012
140,0.002
141,0.001
142,0.017
143,-0.006
144,-0.001
145,-0.003
146,0.024
147,0.013
148,0.028
149,0.008
150,0.023
151,0.018
152,0.038
153,0.01
154,0.028
155,0.015
156,0.011
157,0.014
158,0.01
159,0.019
160,0.01
161,0.003
162,-0.032
163,0.015
164,0.014
165,-0.006
166,0.017
167,0.015
168,0
169,0.014
170,0.028
171,-0.013
172,0.014
173,0.018
174,0.007
175,0.015
176,0.012
177,0.008
178,0.014
179,-0.018
180,0.116
181,0.014
182,0.007
183,0.014
184,0.039
185,0.018
186,0.02
187,0.015
188,0.019
189,-0.022
190,0.018
191,0.002
192,0.014
193,0.015
194,0.009
195,0.033
196,0.021
197,0.016
198,0.021
199,0.025
200,0.015
201,-0.003
202,0.02
203,0.035
204,-0.002
205,0.013
206,0.018
207,0.019
208,0
209,0.003
210,0.002
211,0.009
212,0.021
213,0.018
214,0.025
215,0.018
216,0.008
217,0.006
218,0.015
219,0.021
220,0.029
221,0.015
222,-0.002
223,0.003
224,0.023
225,-0.03
226,-0.131
227,0.103
228,0.007
229,0.015
230,0.015
231,0.014
232,0.024
233,0.013
234,0.013
235,0.016
236,0.001
237,0.002
238,0.006
239,0.013
240,0.024
241,0.059
242,0.021
243,0.014
244,0.01
245,0.002
246,0.067
247,0.005
248,0.014
249,0.055
250,0.015
251,0.03
252,0.026
253,-0.021
254,0.044
255,0.008
256,-0.009
257,0.037
258,-0.046
259,0.016
260,0.013
261,0.028
262,0.009
263,0.014
264,0.014
265,0.068
266,0.024
267,-0.016
268,-0.008
269,-0.013
270,0.004
271,0.013
272,0
273,0.015
274,0.003
275,0.008
276,0.016
277,0.009
278,0.046
279,-0.033
280,0.006
281,0.04
282,0.051
283,0.072
284,0.005
285,0.009
286,0.02
287,-0.002
288,0.021
289,0.009
290,0.017
291,0.017
292,0.023
293,0.009
294,0
295,-0.005
296,0.005
297,0.005
298,-0.008
299,0.001
300,-0.002
301,0.023
302,0.02
303,0.015
304,0.018
305,0.034
306,0.017
307,0.021
308,0.053
309,0.014
310,0.028
311,0.031
312,-0.017
313,0.013
314,-0.022
315,0.026
316,0.018
317,0
318,0.017
319,0.025
320,0.026
321,-0.081
322,0.017
323,-0.053
324,0.019
325,0.005
326,0.008
327,0.019
328,0.013
329,0.016
330,0.019
331,0.043
332,-0.008
333,-0.02
334,0.021
335,0.033
336,0.011
337,0.02
338,0.027
339,0.015
340,-0.008
341,-0.001
342,0.022
343,0.008
344,0.002
345,0.028
346,0.018
347,0.019
348,0.02
349,0.035
350,0.025
351,0.02
352,0.013
353,0.04
354,0.019
355,0
